学工号,姓名,交易额,交易时间,商户名称
2021****00,卢**,16.13,2023/3/17 17:12,美食林小猪憨尼麻辣烫
2021****00,卢**,20,2023/3/17 11:45,学院食堂陕西名小吃
2021****00,卢**,4.6,2023/3/17 8:02,学苑食堂副食三组
2021****00,卢**,1.5,2023/3/16 17:29,美食林肠粉
2021****00,卢**,16,2023/3/16 17:29,美食林肠粉
2021****00,卢**,14,2023/3/16 17:28,美食林阿咪酱骨扒肉
2021****00,卢**,6,2023/3/16 11:51,学苑食堂副食三组
2021****00,卢**,4.8,2023/3/16 7:51,学苑食堂副食三组
2021****00,卢**,10,2023/3/15 17:29,学院食堂陕西名小吃
2021****00,卢**,19.4,2023/3/15 11:58,紫丁香餐吧机器人收银组
2021****00,卢**,1,2023/3/14 17:47,美芝林快客
2021****00,卢**,10,2023/3/14 11:54,学院食堂陕西名小吃
2021****00,卢**,6.5,2023/3/13 12:13,淘乐学苑水果
2021****00,卢**,3,2023/3/12 12:50,美食林肠粉
2021****00,卢**,11,2023/3/12 12:45,美食林老上客砂锅
2021****00,卢**,16.4,2023/3/11 12:26,紫丁香餐吧机器人收银组
2021****00,卢**,7,2023/3/10 17:39,学苑食堂副食三组
2021****00,卢**,10,2023/3/10 11:22,学院食堂陕西名小吃
2021****00,卢**,4.6,2023/3/10 7:49,学苑食堂副食三组
2021****00,卢**,13,2023/3/9 11:46,美食林阿咪酱骨扒肉
2021****00,卢**,6.6,2023/3/9 7:50,学苑食堂副食三组
2021****00,卢**,6.6,2023/3/9 7:50,学苑食堂副食三组
2021****00,卢**,1,2023/3/8 17:59,美芝林快客
2021****00,卢**,13.76,2023/3/8 17:28,美食林小猪憨尼麻辣烫
2021****00,卢**,16,2023/3/8 11:52,美食林肠粉
2021****00,卢**,16,2023/3/8 11:49,美食林肠粉
2021****00,卢**,12.1,2023/3/7 17:31,学苑食堂副食三组
2021****00,卢**,1,2023/3/7 11:32,美芝林快客
2021****00,卢**,11,2023/3/7 11:15,美食林老上客砂锅
2021****00,卢**,1,2023/3/6 17:37,民族餐厅山西饸饹面
2021****00,卢**,12,2023/3/6 17:34,民族餐厅山西饸饹面
2021****00,卢**,17.4,2023/3/6 12:01,紫丁香餐吧机器人收银组
2021****00,卢**,6,2023/3/6 11:53,紫丁香餐吧主食一组
2021****00,卢**,14,2023/3/5 12:12,学院食堂陕西名小吃
2021****00,卢**,5,2023/3/4 17:30,学苑食堂包子
2021****00,卢**,10,2023/3/4 17:26,学院食堂陕西名小吃
2021****00,卢**,8,2023/3/4 14:54,美食林东农豆坊
2021****00,卢**,12,2023/3/4 11:43,美食林榆林镇筋饼
2021****00,卢**,16,2023/3/3 11:38,美食林肠粉
2021****00,卢**,4.6,2023/3/3 7:48,学苑食堂副食三组
2021****00,卢**,2,2023/3/2 17:25,美食林肠粉
2021****00,卢**,16,2023/3/2 17:24,美食林肠粉
2021****00,卢**,13,2023/3/2 17:22,美食林阿咪酱骨扒肉
2021****00,卢**,8,2023/3/2 12:09,民族餐厅山西饸饹面
2021****00,卢**,16,2023/3/2 11:51,民族餐厅铁板料理
2021****00,卢**,4.6,2023/3/2 7:46,学苑食堂副食三组
2021****00,卢**,7,2023/3/1 21:25,美食林东农豆坊
2021****00,卢**,5,2023/3/1 17:27,淘乐学苑水果
2021****00,卢**,13,2023/3/1 17:04,美食林蜀香麻辣烫(川香麻辣烫)
2021****00,卢**,1,2023/3/1 11:55,美食林肠粉
2021****00,卢**,1,2023/3/1 11:54,美食林肠粉
2021****00,卢**,4.6,2023/3/1 7:59,学苑食堂副食三组
2021****00,卢**,13,2023/2/27 17:32,美食林老上客砂锅
2021****00,卢**,15.4,2023/2/27 11:56,紫丁香餐吧机器人收银组
2021****00,卢**,4.6,2023/2/27 7:52,学苑食堂副食三组
2021****00,卢**,14,2023/2/26 11:31,美食林那小味面馆
2021****00,卢**,13.2,2023/2/25 17:54,紫丁香餐吧机器人收银组
2021****00,卢**,16,2023/2/25 13:33,淘乐水果捞店
2021****00,卢**,17,2023/2/24 11:33,民族餐厅铁板料理
2021****00,卢**,4.6,2023/2/24 7:50,学苑食堂副食三组
2021****00,卢**,12.7,2023/2/23 17:29,学苑食堂主食二组
2021****00,卢**,2,2023/2/23 17:23,学苑食堂副食三组
2021****00,卢**,25,2023/2/23 17:19,学苑食堂副食三组
2021****00,卢**,1,2023/2/23 7:47,学苑食堂副食三组
2021****00,卢**,5.6,2023/2/23 7:46,学苑食堂副食三组
2021****00,卢**,13.08,2023/2/22 17:08,阳光副食二组
2021****00,卢**,17.4,2023/2/22 11:51,紫丁香餐吧副食一组（中西套餐）
2021****00,卢**,4.6,2023/2/22 7:46,学苑食堂副食三组
2021****00,卢**,12,2023/2/21 17:31,学苑食堂副食三组
2021****00,卢**,24.4,2023/2/20 11:56,紫丁香餐吧机器人收银组
2021****00,卢**,4.6,2023/2/20 7:57,学苑食堂副食三组
2021****00,卢**,8,2023/2/19 18:44,民族餐厅山西饸饹面
2021****00,卢**,9,2023/2/17 11:10,学苑食堂副食一组
2021****00,卢**,15,2023/2/16 18:06,美食林90后串炒饭
2021****00,卢**,17,2023/2/16 12:03,学苑食堂香恋香拌砂锅
2021****00,卢**,2.5,2023/2/16 9:11,学苑食堂副食三组
2021****00,卢**,6,2023/2/15 17:49,学苑食堂副食一组
2021****00,卢**,9,2023/2/15 17:48,学苑食堂副食一组
2021****00,卢**,6.5,2023/2/15 11:44,淘乐学苑水果
2021****00,卢**,12,2023/2/15 11:16,美食林老上客砂锅
2021****00,卢**,10,2023/2/14 17:32,学苑食堂包子
2021****00,卢**,14.4,2023/2/14 11:11,紫丁香餐吧机器人收银组
2021****00,卢**,17,2023/2/13 17:29,学苑食堂香恋香拌砂锅
2021****00,卢**,22.4,2023/2/13 11:06,紫丁香餐吧机器人收银组
2021****00,卢**,1,2023/2/12 17:03,民族餐厅真味主题烧烤吧
2021****00,卢**,12,2023/2/12 16:41,民族餐厅金家店
2021****00,卢**,6,2023/2/12 11:55,淘乐学苑水果
2021****00,卢**,18.5,2023/2/12 11:24,美食林小猪憨尼麻辣烫
2021****00,卢**,9,2023/2/11 17:51,学苑食堂副食一组
2021****00,卢**,11,2023/2/11 17:49,学苑食堂包子
2021****00,卢**,5,2023/2/11 17:49,学苑食堂包子
2021****00,卢**,13,2023/2/11 11:21,美食林老上客砂锅
2021****00,卢**,17,2023/2/10 11:29,学苑食堂香恋香拌砂锅
2021****00,卢**,18,2023/2/9 17:30,学苑食堂副食一组
2021****00,卢**,6.2,2023/2/9 9:44,学苑食堂副食三组
2021****00,卢**,20,2023/2/8 13:18,深澜网费对接
2021****00,卢**,12,2022/12/4 12:27,学苑食堂香恋香拌砂锅
2021****00,卢**,11,2022/12/3 18:06,美食林老上客砂锅
2021****00,卢**,1,2022/12/3 13:53,民族餐厅山西饸饹面
2021****00,卢**,10,2022/12/3 13:52,民族餐厅山西饸饹面
2021****00,卢**,14,2022/12/2 19:33,民族餐厅山西饸饹面
2021****00,卢**,10,2022/12/2 12:03,学苑食堂包子
2021****00,卢**,12,2022/12/1 18:53,美食林老上客砂锅
2021****00,卢**,9,2022/12/1 12:36,学苑食堂副食三组
2021****00,卢**,12,2022/11/30 18:06,民族餐厅金家店
2021****00,卢**,17,2022/11/30 12:36,学苑食堂香恋香拌砂锅
2021****00,卢**,6,2022/11/29 12:11,学苑食堂包子
2021****00,卢**,13,2022/11/28 16:39,美食林老上客砂锅
2021****00,卢**,1,2022/11/28 12:14,学苑食堂副食三组
2021****00,卢**,8,2022/11/28 12:11,学苑食堂副食三组
2021****00,卢**,2,2022/11/27 11:58,学苑食堂副食三组
2021****00,卢**,7,2022/11/27 11:58,学苑食堂副食三组
2021****00,卢**,14.02,2022/11/26 17:26,阳光副食二组
2021****00,卢**,34,2022/11/26 12:11,学苑食堂香恋香拌砂锅
2021****00,卢**,2,2022/11/25 18:21,学苑食堂副食三组
2021****00,卢**,15.69,2022/11/25 17:39,美食林小猪憨尼麻辣烫
2021****00,卢**,10,2022/11/25 12:16,学苑食堂包子
2021****00,卢**,12,2022/11/24 18:32,学苑食堂香恋香拌砂锅
2021****00,卢**,10.6,2022/11/24 18:31,学苑食堂副食三组
2021****00,卢**,15,2022/11/24 12:13,阳光川蜀源烤鱼
2021****00,卢**,7.08,2022/11/23 22:25,哈尔滨市南岗区淘乐水果捞店
2021****00,卢**,10,2022/11/23 18:50,学院食堂陕西名小吃
2021****00,卢**,13,2022/11/23 11:58,学苑食堂副食三组
2021****00,卢**,14,2022/11/22 18:46,学院食堂陕西名小吃
2021****00,卢**,2,2022/11/22 12:23,学苑食堂副食三组
2021****00,卢**,15,2022/11/22 11:58,美食林陕西刀削面(川无界)
2021****00,卢**,2,2022/11/21 17:58,学苑食堂副食三组
2021****00,卢**,13,2022/11/21 17:13,美食林老上客砂锅
2021****00,卢**,10,2022/11/21 12:11,学苑食堂包子
2021****00,卢**,2,2022/11/20 18:01,学苑食堂副食三组
2021****00,卢**,13,2022/11/20 17:37,学苑食堂重庆小面
2021****00,卢**,5,2022/11/19 18:16,学苑食堂副食三组
2021****00,卢**,2,2022/11/19 18:14,学苑食堂香恋香拌砂锅
2021****00,卢**,15,2022/11/19 18:12,学苑食堂香恋香拌砂锅
2021****00,卢**,14.4,2022/11/19 11:34,阳光副食二组
2021****00,卢**,5,2022/11/18 17:29,学苑食堂霞姐饮品店
2021****00,卢**,14,2022/11/18 16:48,美食林老上客砂锅
2021****00,卢**,17,2022/11/18 11:25,学苑食堂香恋香拌砂锅
2021****00,卢**,8,2022/11/17 17:30,淘乐学苑水果
2021****00,卢**,13,2022/11/17 16:59,学苑食堂包子
2021****00,卢**,8.5,2022/11/17 11:49,百味佳副食一组
2021****00,卢**,15.4,2022/11/17 11:48,百味佳副食二组
2021****00,卢**,13,2022/11/16 18:06,美食林老上客砂锅
2021****00,卢**,15,2022/11/16 12:13,阳光川蜀源烤鱼
