学工号,姓名,交易额,交易时间,商户名称
2021****86,赖**,5.1,2023/3/31 7:44,百味佳副食一组
2021****86,赖**,6.9,2023/3/30 17:51,淘乐学苑水果
2021****86,赖**,13,2023/3/30 17:35,美食林美美卤肉饭
2021****86,赖**,11.28,2023/3/30 11:45,阳光副食二组
2021****86,赖**,3.9,2023/3/30 7:31,百味佳副食一组
2021****86,赖**,13,2023/3/29 17:35,美食林美美卤肉饭
2021****86,赖**,12,2023/3/29 11:31,学苑食堂真牛铁板
2021****86,赖**,0.95,2023/3/29 9:13,百味佳副食一组
2021****86,赖**,6.9,2023/3/28 18:02,淘乐学苑水果
2021****86,赖**,15.1,2023/3/28 17:38,美食林小猪憨尼麻辣烫
2021****86,赖**,12,2023/3/28 11:51,美食林川蜀源烤鱼
2021****86,赖**,7.5,2023/3/27 17:47,淘乐学苑水果
2021****86,赖**,11,2023/3/27 17:28,美食林90后串炒饭
2021****86,赖**,12,2023/3/27 12:03,美食林川蜀源烤鱼
2021****86,赖**,4.35,2023/3/27 9:11,百味佳副食一组
2021****86,赖**,12,2023/3/26 17:34,一区饺子园主食一组
2021****86,赖**,12,2023/3/26 12:30,学苑食堂香恋香拌砂锅
2021****86,赖**,5,2023/3/26 8:43,百味佳副食一组
2021****86,赖**,16,2023/3/25 17:49,民族餐厅铁板料理
2021****86,赖**,12,2023/3/25 11:44,美食林那小味面馆
2021****86,赖**,3,2023/3/25 9:01,百味佳副食一组
2021****86,赖**,11.54,2023/3/24 17:33,美食林小猪憨尼麻辣烫
2021****86,赖**,10,2023/3/24 11:52,民族餐厅山西饸饹面
2021****86,赖**,0.7,2023/3/22 17:37,百味佳副食一组
2021****86,赖**,14,2023/3/21 17:35,阳光广式猪脚饭
2021****86,赖**,12,2023/3/21 11:54,美食林川蜀源烤鱼
2021****86,赖**,5.1,2023/3/21 7:41,百味佳副食一组
2021****86,赖**,12,2023/3/20 17:32,美食林川蜀源烤鱼
2021****86,赖**,16,2023/3/20 11:27,阳光广式猪脚饭
2021****86,赖**,3.5,2023/3/20 8:14,百味佳副食一组
2021****86,赖**,12,2023/3/19 18:05,美食林90后串炒饭
2021****86,赖**,13,2023/3/19 11:45,阳光广式猪脚饭
2021****86,赖**,5,2023/3/19 8:24,百味佳副食一组
2021****86,赖**,13,2023/3/18 17:46,美食林老上客砂锅
2021****86,赖**,12.2,2023/3/18 11:42,百味佳副食一组
2021****86,赖**,5,2023/3/18 9:05,百味佳副食一组
2021****86,赖**,15.1,2023/3/17 17:33,美食林小猪憨尼麻辣烫
2021****86,赖**,12.2,2023/3/17 11:52,百味佳副食一组
2021****86,赖**,3.5,2023/3/17 7:45,百味佳副食一组
2021****86,赖**,14.2,2023/3/16 17:04,百味佳副食一组
2021****86,赖**,10.8,2023/3/16 11:28,阳光小是小简餐
2021****86,赖**,2.75,2023/3/16 7:41,学苑食堂副食三组
2021****86,赖**,8,2023/3/15 17:55,淘乐学苑水果
2021****86,赖**,13,2023/3/15 17:39,美食林90后串炒饭
2021****86,赖**,13,2023/3/15 11:50,美食林川蜀源烤鱼
2021****86,赖**,5.1,2023/3/15 8:35,百味佳副食一组
2021****86,赖**,9,2023/3/14 17:33,美食林肠粉
2021****86,赖**,12,2023/3/14 11:44,美食林川蜀源烤鱼
2021****86,赖**,3.4,2023/3/14 7:37,百味佳副食一组
2021****86,赖**,12,2023/3/13 17:19,学苑食堂香恋香拌砂锅
2021****86,赖**,10,2023/3/13 16:26,美食林东农豆坊
2021****86,赖**,5,2023/3/13 16:26,美食林东农豆坊
2021****86,赖**,13,2023/3/13 11:38,阳光广式猪脚饭
2021****86,赖**,3.6,2023/3/13 8:45,百味佳副食一组
2021****86,赖**,15,2023/3/12 17:46,美食林90后串炒饭
2021****86,赖**,16,2023/3/12 11:25,阳光广式猪脚饭
2021****86,赖**,5,2023/3/12 8:52,百味佳副食一组
2021****86,赖**,5.5,2023/3/11 17:39,淘乐学苑水果
2021****86,赖**,13,2023/3/11 17:17,阳光广式猪脚饭
2021****86,赖**,4.2,2023/3/11 11:51,百味佳副食一组
2021****86,赖**,5.64,2023/3/11 11:49,百味佳副食二组
2021****86,赖**,5.1,2023/3/11 8:41,百味佳副食一组
2021****86,赖**,13,2023/3/10 17:07,阳光广式猪脚饭
2021****86,赖**,11,2023/3/10 11:54,学苑食堂包子
